dataset_name,top1_hit,top3_hit,regret_utility,regret_accuracy
001_experiments_encoded_data,1,1,0.0,0.0
002_experiments_heart_dataset,1,1,0.0,0.0
003_experiments_heart_failure_clinical_records_dataset,0,0,0.15265549580256144,0.1166666666666667
005_experiments_transfusion,0,0,0.017684224605560295,0.0
007_experiments_qsar_dataset,1,1,0.0,0.0
008_experiments_bank_note,0,0,0.1573640458367087,0.2727272727272727
009_experiments_Social_Network,0,0,0.010402684926986705,0.07499999999999996
010_experiments_Customer_Churn,1,1,0.0,0.0
011_experiments_Chronic_Kidney,1,1,0.0,0.0
013_experiments_indian_liver,1,1,0.0,0.0
014_experiments_bank_customer_churn_prediction,1,1,0.0,0.0
015_experiments_suicidal_thoughts,0,1,0.23554609298706047,0.05499999999999994
016_experiments_cc_default,1,1,0.0,0.0
017_experiments_thyroid,1,1,0.0,0.0
018_experiments_Wine,1,1,0.0,0.0
019_experiments_affairs,0,1,0.026188091278076198,0.012500000000000067
020_experiments_backbencher,0,1,0.03724384784698487,0.0
021_experiments_smoking,0,0,0.003589977264404298,0.0
022_experiments_AIDS,1,1,0.0,0.0
023_experiments_wife_using_cc,1,1,0.0,0.0
024_experiments_divorced,0,0,0.18582472597468996,0.036363636363636376
025_experiments_bupa_binary,1,1,0.0,0.0
026_experiment_shaberman,0,0,0.07267203638592701,0.0491803278688524
027_experiment_titanic,0,1,0.021499547727991952,0.0730337078651686
028_experiment_C_Churn_Sub,1,1,0.0,0.0
029_experiment_admission_binary,0,0,0.0002726967334747421,0.0
030_experiments_ionosphere,0,0,0.022037679399762755,0.0714285714285714
031_experiments_breast_coimbria,0,0,0.1613203153402909,0.17391304347826086
032_experiments_glass_binary,0,0,0.11436713715257318,0.06896551724137934
033_experiments_wq_binary,0,0,0.039350352672430144,0.038461538461538436
034_experiments_letter,1,1,0.0,0.0
035_experiments_stroke,1,1,0.0,0.0
036_experiments_spambase,0,1,0.024635479688644435,0.0
037_experiments_HR_Dataset,1,1,0.0,0.0
038_experiments_i_s_d,0,0,0.014383693218231186,0.10999999999999999
039_experiments_pollution_dataset,0,1,0.023014546314875317,0.2466666666666667
040_experiments_star_classification,1,1,0.0,0.0
041_experiments_student_sleep_patterns,0,0,0.2421489140987396,0.10999999999999993
042_experiments_attrition_rate,1,1,0.0,0.0
044_experiments_eeg_state,1,1,0.0,0.0
045_experiments_auction_verification,1,1,0.0,0.0
047_experiments_thoracic,0,0,0.031309220075607214,0.0
048_experiments_room_occupancy,1,1,0.0,0.0
049_experiments_sonar,0,1,0.128570846716563,0.16666666666666674
050_experiments_student_result_maths,0,0,0.048011432400232534,0.12658227848101267
